The Incredible Machine 2,1994,Puzzle
4x4 Evo,"October 29, 2000",Racing/Simulation
Shuttle: The Space Flight Simulator,1992,Simulation
Amazon Trail 3rd Edition,1998,Education/Nature
Adventures of Barsak The Dwarf,1984,Adventure
Alien Incident,1996,Adventure
Barney Bear Goes To Space,1992,Educational
Blue's Clues: Blue's Alphabet Book,2001,Educational
Bush Buck: Global Treasure Hunter,1991,Educational/Strategy
Candy Land,1998,Adbventure
Frogger,1997,Action
ClueFinders: 3rd Grade Adventures: The Mystery of Mathra,1998,Adventure/Educational
