"Sierra On-Line, Inc.",http://sierragames.com,,The Incredible Machine 2
Terminal Reality,http://www.terminalreality.com/,,4x4 Evo
"Virgin Games, Inc",http://www.virgingames.com,,Shuttle: The Space Flight Simulator
"The Learning Company, Inc",http://www.learningcompany.com,,Amazon Trail 3rd Edition
Gilsoft ,na,,Adventures of Barsak The Dwarf
"Game Tek, Inc",http://take2games.com,,Alien Incident
Free Spirit Software Inc,http://freespiritsoftware.co.uk,,Barney Bear Goes To Space
Mattel Interactive,http://www.learningcompany.com,,Blue's Clues: Blue's Alphabet Book
PC Globe Inc.,http://www.learningcompany.com,,Bush Buck: Global Treasure Hunter
"Hasbro Interactive, Inc.",https://web.archive.org/web/2NN1N3N1N814N7/http://www.hasbrointeractive.com/,,Candy Land
"Hasbro Interactive, Inc.",https://web.archive.org/web/2NN1N3N1N814N7/http://www.hasbrointeractive.com/,,Frogger
"The Learning Company, Inc",http://www.learningcompany.com,,ClueFinders: 3rd Grade Adventures: The Mystery of Mathra
